,tebakan,asli
60,Akuntansi - UGM (IPS),Sastra Inggris - UI
61,S-1 Teknik Informatika - ITS (IPA),Kedokteran Gigi - UI
62,S-1 Teknik Informatika - ITS (IPA),Fisika - UI
63,Akuntansi - UGM (IPS),Sastra Jerman - UNPAD
64,S-1 Teknik Informatika - ITS (IPA),Biologi - UI
65,Agroekoteknologi - UB (IPA),Agroekoteknologi - UB
66,Fti - ITB (IPA),Fti - ITB
67,S-1 Teknik Informatika - ITS (IPA),Farmasi - ITB
68,S-1 Teknik Informatika - ITS (IPA),Ilmu Gizi - UNDIP
69,S-1 Teknik Informatika - ITS (IPA),Biologi - UNPAD
70,S-1 Teknik Informatika - ITS (IPA),Kimia  - UNPAD 
71,S-1 Teknik Informatika - ITS (IPA),Kedokteran Gigi - UNAIR
72,S-1 Teknik Informatika - ITS (IPA),Sith-R - ITB
73,Akuntansi - UGM (IPS),Akuntansi - UI
74,S-1 Teknik Informatika - ITS (IPA),Teknologi Hasil Perikanan - UGM
75,Akuntansi - UGM (IPS),Sosiologi - UNAIR
76,Akuntansi - UGM (IPS),Manajemen - UNPAD
77,S-1 Teknik Informatika - ITS (IPA),Sithr - ITB
78,Kesehatan Masyarakat - UI (IPA),Kesehatan Masyarakat - UI
79,S-1 Teknik Informatika - ITS (IPA),Geologi - UI
80,S-1 Teknik Informatika - ITS (IPA),Teknik Industri - UB
81,S-1 Teknik Informatika - ITS (IPA),Farmasi - UNAIR
82,Akuntansi - UGM (IPS),Ilmu Hukum - UNPAD
83,S-1 Teknik Informatika - ITS (IPA),Sith-R - ITB
84,S-1 Teknik Informatika - ITS (IPA),Pendidikan Ners - UNAIR
85,Fisika - ITS (IPA),Fisika - ITS
86,Akuntansi - UGM (IPS),Hukum - UNPAD
87,S-1 Teknik Informatika - ITS (IPA),Teknik Kimia - UNDIP
88,Geofisika - UGM (IPA),Geofisika - UGM
89,S-1 Teknik Informatika - ITS (IPA),Kedokteran - UNPAD
90,S-1 Teknik Informatika - ITS (IPA),Pendidikan Dokter  - UB
91,S-1 Teknik Informatika - ITS (IPA),Geografi - UI
92,S-1 Teknik Informatika - ITS (IPA),Perencanaan Wilayah & Kota - UB
93,Fitb - ITB (IPA),Fitb - ITB
94,Astronomi - ITB (IPA),Astronomi - ITB
95,S-1 Teknik Informatika - ITS (IPA),Ftsl - ITB
96,Kesehatan Masyarakat - UI (IPA),Kesehatan Masyarakat - UI
97,Akuntansi - UGM (IPS),Ilmu Hubungan Internasional - UNPAD
98,Akuntansi - UGM (IPS),Sastra Inggris - UI
99,Akuntansi - UGM (IPS),Antropologi - UNPAD
100,Akuntansi - UGM (IPS),Manajemen Komunikasi - UNPAD
101,Itb - Sithr - ITB (IPA),Itb - Sithr - ITB
102,S-1 Teknik Informatika - ITS (IPA),Teknik Lingkungan - ITS
103,Akuntansi - UGM (IPS),Hubungan Internasional - UNPAD
104,Ilmu Hub. Internasional - UNPAD (IPA),Ilmu Hub. Internasional - UNPAD
105,Akuntansi - UGM (IPS),Hukum - UNPAD
106,Akuntansi - UGM (IPS),Ilmu Komunikasi - UNPAD
107,Fitb - ITB (IPA),Fitb - ITB
108,Hi - UB (IPS),Hi - UB
109,Akuntansi - UGM (IPS),Hubungan Internasional - UI
110,S-1 Teknik Informatika - ITS (IPA),Ftsl - ITB
111,S-1 Teknik Informatika - ITS (IPA),Fti-Ganesa - ITB
112,Akuntansi - UGM (IPS),Manajemen - UI
113,Akuntansi - UGM (IPS),Akuntansi - UNAIR
114,S-1 Teknik Informatika - ITS (IPA),Teknik Sipil - UB
115,S-1 Teknik Informatika - ITS (IPA),Ftsl-J - ITB
116,Akuntansi - UGM (IPS),Ilmu Kesejahteraan Sosial - UI
117,S-1 Teknik Informatika - ITS (IPA),Ilmu Keperawatan - UNDIP
118,S-1 Teknik Informatika - ITS (IPA),Fakultas Teknologi Industri - ITB
119,S-1 Teknik Informatika - ITS (IPA),Fakultas Teknik Sipil Dan Lingkungan - ITB
120,S-1 Teknik Informatika - ITS (IPA),Geologi - UI
121,S-1 Teknik Informatika - ITS (IPA),Kedokteran Gigi - UNPAD
122,Akuntansi - UGM (IPS),Ekonomi Pembangunan - UNPAD
123,S-1 Teknik Informatika - ITS (IPA),Teknik Sipil - UGM
124,Agroekoteknologi - UB (IPA),Agroekoteknologi - UB
125,S-1 Teknik Informatika - ITS (IPA),Teknik Mesin - UGM
126,Akuntansi - UGM (IPS),Tv & Perfilman - UNPAD
127,Pend. Apoteker - UNAIR (IPA),Pend. Apoteker - UNAIR
128,Fitb - ITB (IPA),Fitb - ITB
129,S-1 Teknik Informatika - ITS (IPA),Kedokteran Hewan - UGM
130,Akuntansi - UGM (IPS),Sastra Indonesia - UI
131,S-1 Teknik Informatika - ITS (IPA),Fisika - UI
132,Budidaya Perairan - UNAIR (IPA),Budidaya Perairan - UNAIR
133,S-1 Teknik Informatika - ITS (IPA),Statistika - UI
134,Hubungan Masyarakat - UNPAD (IPS),Hubungan Masyarakat - UNPAD
135,Akuntansi - UGM (IPS),Akuntansi - UGM
136,S-1 Teknik Informatika - ITS (IPA),Psikologi - UNPAD
137,S-1 Teknik Informatika - ITS (IPA),Geografi - UI
138,Teknik Sistem Perkapalan - ITS (IPA),Teknik Sistem Perkapalan - ITS
139,Fmipa - ITB (IPA),Fmipa - ITB
140,S-1 Teknik Informatika - ITS (IPA),Peternakan - UB
141,S-1 Teknik Informatika - ITS (IPA),Teknik Industri - ITS
142,Akuntansi - UGM (IPS),Akuntansi - UI
143,S-1 Teknik Informatika - ITS (IPA),Teknik Geologi - UNPAD
144,Akuntansi - UGM (IPS),Akuntansi - UGM
145,S-1 Teknik Informatika - ITS (IPA),Tphp - UGM
146,Kedokteran Hewan - UNAIR (IPA),Kedokteran Hewan - UNAIR
147,S-1 Teknik Informatika - ITS (IPA),Teknik Mesin - UI
148,Ilmu Peternakan - UNPAD (IPA),Ilmu Peternakan - UNPAD
149,S-1 Teknik Informatika - ITS (IPA),Teknik Sipil Dan Lingkungan - ITB
150,S-1 Teknik Informatika - ITS (IPA),Farmasi - UNPAD
151,S-1 Teknik Informatika - ITS (IPA),Teknik Kimia - UGM
152,S-1 Teknik Informatika - ITS (IPA),Farmasi - UNPAD
153,Jurnalistik - UNPAD (IPS),Jurnalistik - UNPAD
154,Fitb - ITB (IPA),Fitb - ITB
155,S-1 Teknik Informatika - ITS (IPA),Ilmu Dan Teknologi Pangan - UB
156,Statistika - ITS (IPA),Statistika - ITS
157,Hubungan Internasional - UGM (IPS),Hubungan Internasional - UGM
158,S-1 Teknik Informatika - ITS (IPA),Psikologi - UNPAD
159,Ilmu Keperawatan  - UNPAD  (IPA),Ilmu Keperawatan  - UNPAD 
160,S-1 Teknik Informatika - ITS (IPA),Pendidikan Apoteker - UNAIR
161,Akuntansi - UGM (IPS),Hubungan Internasional - UNPAD
162,S-1 Teknik Informatika - ITS (IPA),Matematika - UI
163,Fmipa Fisika - UB (IPA),Geologi - UI
164,S-1 Teknik Informatika - ITS (IPA),Teknik Informatika - UNPAD
165,S-1 Teknik Informatika - ITS (IPA),Akuntansi - UNAIR
166,Akuntansi - UGM (IPS),Psikologi - UGM
167,S-1 Teknik Informatika - ITS (IPA),Statistika - UNPAD
168,Akuntansi - UGM (IPS),Psikologi - UGM
